Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mongolia, 0.29 , -   , 0.17 , 0.06 , 0.90 , 0.87 , 2.28 , 1.43 , 3.09 , 1.49 , 1.33 , 4.82 , 14.34 , 5.06 , 9.39 , 10.84 , 12.17 , 7.93 , 10.01 , 8.78 , 11.29 , 15.82 , 14.00 , 22.00 , 24.00 , 26.00 , 27.00 
Myanmar, 0.01 , 0.16 , 1.09 , 0.03 , 1.29 , 2.14 , 0.88 , 0.05 , 0.03 , 0.02 , 0.02 , 57.21 , 54.91 , 61.62 , 81.66 , 63.93 , 82.81 , 109.26 , 158.85 , 194.71 , 314.88 , 257.35 , 353.00 , 189.00 , 202.00 , 210.00 , 172.00 
New Zealand, 134.01 , 127.12 , 135.16 , 150.29 , 147.48 , 149.47 , 156.56 , 162.93 , 190.32 , 170.68 , 189.60 , 196.92 , 204.92 , 221.85 , 236.40 , 243.49 , 259.73 , 258.87 , 262.26 , 281.88 , 280.26 , 271.37 , 286.00 , 323.00 , 329.00 , 359.00 , 348.00 
Oman, 35.65 , 52.26 , 59.29 , 34.41 , 39.80 , 55.06 , 41.25 , 46.30 , 57.21 , 56.29 , 74.99 , 59.99 , 45.07 , 64.07 , 59.99 , 57.82 , 54.65 , 61.38 , 67.03 , 69.36 , 55.50 , 74.11 , 88.00 , 115.00 , 115.00 , 102.00 , 99.00 
Pakistan, 3.32 , 1.65 , 5.18 , 1.24 , 1.02 , 4.15 , 5.29 , 1.39 , 0.51 , 1.54 , 2.08 , 3.06 , 1.66 , 5.95 , 8.53 , 7.59 , 8.42 , 8.01 , 10.81 , 9.87 , 9.57 , 7.50 , 5.00 , 17.00 , 18.00 , 13.00 , 12.00 
Qatar, 5.18 , 10.58 , 10.67 , 4.72 , 6.73 , 16.15 , 13.28 , 12.12 , 10.64 , 21.23 , 15.21 , 19.02 , 20.10 , 23.69 , 20.81 , 31.70 , 23.28 , 32.43 , 45.01 , 53.85 , 58.19 , 42.26 , 49.00 , 46.00 , 44.00 , 55.00 , 75.00 
Samoa, 1.04 , 0.39 , 0.47 , 0.69 , 0.10 , 0.08 , 0.63 , 0.04 , 0.12 , 0.13 , 0.08 , 0.08 , 0.03 , 0.12 , 0.20 , 0.28 , 0.39 , 0.25 , 3.10 , 2.64 , 4.69 , 4.46 , 7.00 , 9.00 , 12.00 , 14.00 , 16.00 
Saudi Arabia, 275.05 , 343.12 , 231.87 , 144.23 , 106.94 , 290.59 , 281.12 , 214.73 , 343.90 , 364.85 , 412.75 , 389.23 , 453.66 , 474.20 , 566.13 , 596.26 , 643.84 , 757.96 , 830.55 , 853.94 , 955.34 ," 1,029.58 "," 1,215.00 "," 1,332.00 "," 1,383.00 "," 1,684.00 "," 1,371.00 "
Singapore," 1,214.44 "," 1,099.47 "," 1,552.27 "," 1,614.57 "," 1,770.22 "," 1,041.06 ", 862.12 ," 1,100.20 ", 697.99 , 869.67 , 944.15 ," 1,051.88 "," 1,118.79 ", 990.62 ," 1,392.85 "," 1,263.50 "," 1,014.75 ", 879.44 , 767.02 , 581.95 , 624.48 , 643.50 , 761.00 , 681.00 , 767.00 , 874.00 , 681.00 
Solomon Islands, 0.34 , 0.28 , 0.17 , 0.17 , 0.17 , 0.17 , 0.17 , 2.42 , 2.10 , 2.10 , 2.10 , 2.10 , 0.96 , 0.61 , 1.91 , 1.24 , 2.34 , 1.34 , 1.95 , 1.88 , 4.26 , 4.56 , 6.00 , 2.00 , 9.00 , 10.00 , 3.00 
Syrian Arab Republic, 26.25 , 166.08 , 180.83 , 228.97 , 185.38 , 200.04 , 218.57 , 209.49 , 268.24 , 276.79 , 221.31 , 640.79 , 450.13 , 207.95 , 343.84 , 407.64 , 266.25 , 593.79 , 346.67 , 725.11 , 501.48 , 604.73 , 478.00 , 437.00 , 463.00 , 423.00 , 403.00 
Taiwan, 146.06 , 183.87 , 173.47 , 156.72 , 212.88 , 166.43 , 209.52 , 253.94 , 268.22 , 318.09 , 402.15 , 442.72 , 478.35 , 490.86 , 360.50 , 324.58 , 295.28 , 358.08 , 319.07 , 359.96 , 453.22 , 469.79 , 476.00 , 557.00 , 583.00 , 667.00 , 698.00 
Tonga, 0.14 , 0.25 , 0.22 , 0.30 , 0.42 , 0.20 , 0.43 , 0.23 , 0.32 , 0.37 , 0.84 , 1.11 , 0.78 , 0.65 , 0.35 , 0.72 , 1.07 , 3.40 , 1.46 , 2.02 , 1.67 , 1.81 , 2.00 , 2.00 , 1.00 , 1.00 , 1.00 
Turkey, 140.37 , 164.59 , 171.27 , 219.62 , 142.39 , 201.01 , 251.85 , 252.98 , 295.81 , 268.03 , 291.64 , 294.28 , 363.15 , 372.24 , 410.74 , 472.43 , 509.35 , 530.01 , 499.66 , 533.63 , 625.37 , 656.46 , 723.00 , 842.00 , 987.00 ," 1,249.00 "," 1,192.00 "
United Arab Emirates, 79.27 , 93.76 , 116.55 , 102.92 , 93.70 , 114.97 , 137.80 , 124.85 , 174.65 , 160.41 , 189.21 , 246.83 , 241.27 , 224.79 , 299.02 , 356.72 , 317.69 , 324.14 , 319.93 , 345.39 , 296.14 , 349.94 , 369.00 , 468.00 , 463.00 , 530.00 , 606.00 
Vanuatu, 0.41 , 0.27 , 0.58 , 0.35 , 0.45 , 0.32 , 0.42 , 0.53 , 0.21 , 0.29 , 0.92 , 0.39 , 0.42 , 1.92 , 0.36 , 0.99 , 0.39 , 1.34 , 1.27 , 0.81 , 1.57 , 1.56 , 1.00 , 2.00 , 2.00 , 1.00 , 2.00 
Anguilla, 0.01 , 0.06 , 0.08 , 0.33 , 0.30 , 0.04 , 0.03 , 0.35 , 0.84 , 0.67 , 0.76 , 0.76 , 0.88 , 0.74 , 0.69 , 0.47 , 0.53 , 0.41 , 0.61 , 0.92 , 0.98 , 0.90 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
